Features,*[VRelProm] -> /Unstress/,*[V] -> /VV/,*[0] -> /Vfull/,*[0] -> /Vweak/,*[V] -> /Vweak/,*/VV/ -> |V|,*/V/ -> |VV|,*/Vfull/ -> |Vweak|,*/Vweak/ -> |Vfull|,*|Vfull| -> /Vweak/,*|Vweak| -> [Vfull],*|V| -> /VV/,*|VV| -> /V/,*/Unstress-iFull/,*/Unstress-Vfull/,*/Vweak/,*/StressVweak/,/FootBin/,/Align-PWd.R.Ft.R/,/Align-PWd.L.Ft.L/,/Align-Ft.R.PWd.R/,,
Transition,|minisItaa|,(2)/minisI(t'aa)/,,,,,,,,,,,,,,0,,1,,,,,
Transition,|minisItaa|,(2)/minisi(t'aa)/,,,,,,,,,,,1,,,0,1,,,,,,
Transition,|minisItaa|,(2)/mini(s'Ita)/,,,,,,,,,,,,,1,0,1,1,1,,,,
Transition,|minisItaa|,(2)/minisI(t'a)/,,,,,,,,,,,,,1,0,,1,,1,,,
Transition,|minisIta|,(2)/mini(s'ita)/,,,,,,,,,,,1,,,0,1,,,,,,
Transition,|minisIta|,(2)/minisi(t'a)/,,,,,,,,,,,1,,,0,1,,,1,,,
Transition,|minisIta|,(2)/minisI(t'aa)/,,,,,,,,,,,,1,,0,,1,,,,,
Transition,|minisIta|,(2)/minisi(t'aa)/,,,,,,,,,,,1,1,,0,1,,,,,,
Transition,|minisIta|,(2)/mini(s'Ita)/,,,,,,,,,,,,,,0,1,1,1,,,,
Transition,|minisIta|,(2)/minisI(t'a)/,,,,,,,,,,,,,,0,,1,,1,,,
*Transition,[k'ust3m3] (ignoring first foot),/kasi(t'oma)/,,,,,,,,,,,,,,,1,,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasito(m'a)/,,,,,,,,,,,,,,,1,,,1,,,
Transition,[k'ust3m3] (ignoring first foot),/kasito(m'aa)/,,1,,,,,,,,,,,,,1,,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasitO(m'a)/,,,,,1,,,,,,,,,,,1,,1,,,
Transition,[k'ust3m3] (ignoring first foot),/kasitO(m'aa)/,,1,,,1,,,,,,,,,,,1,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasi(t'Oma)/,,,,,1,,,,,,,,,,1,1,1,,,,
Transition,/kasi(t'oma)/,|kasitoma|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitOma|,,,,,,,,1,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitomaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitOmaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitoma|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitOma|,,,,,,,,1,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitomaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitOmaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitoma|,,,,,,1,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitOma|,,,,,,1,,1,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitomaa|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitOmaa|,,,,,,,,1,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitoma|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitOma|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitomaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitOmaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitoma|,,,,,,1,,,1,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitOma|,,,,,,1,,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitomaa|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitOmaa|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitoma|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitOma|,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitomaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitOmaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,|kasitoma|,(2)/kasi(t'oma)/,,,,,,,,,,,,,,,1,,,,,,
Transition,|kasitoma|,(2)/kasito(m'a)/,,,,,,,,,,,,,,,1,,,1,,,
Transition,|kasitoma|,(2)/kasito(m'aa)/,,,,,,,,,,,,1,,,1,,,,,,
Transition,|kasitoma|,(2)/kasitO(m'a)/,,,,,,,,,,1,,,,,,1,,1,,,
Transition,|kasitoma|,(2)/kasitO(m'aa)/,,,,,,,,,,1,,1,,,,1,,,,,
Transition,|kasitoma|,(2)/kasi(t'Oma)/,,,,,,,,,,1,,,,,1,1,1,,,,
Transition,|kasitOma|,(2)/kasi(t'oma)/,,,,,,,,,,,1,,,,1,,,,,,
Transition,|kasitOma|,(2)/kasito(m'a)/,,,,,,,,,,,1,,,,1,,,1,,,
Transition,|kasitOma|,(2)/kasito(m'aa)/,,,,,,,,,,,1,1,,,1,,,,,,
Transition,|kasitOma|,(2)/kasitO(m'a)/,,,,,,,,,,,,,,,,1,,1,,,
Transition,|kasitOma|,(2)/kasitO(m'aa)/,,,,,,,,,,,,1,,,,1,,,,,
Transition,|kasitOma|,(2)/kasi(t'Oma)/,,,,,,,,,,,,,,,1,1,1,,,,
Transition,|kasitomaa|,(2)/kasi(t'oma)/,,,,,,,,,,,,,1,,1,,,,,,
Transition,|kasitomaa|,(2)/kasito(m'a)/,,,,,,,,,,,,,1,,1,,,1,,,
Transition,|kasitomaa|,(2)/kasito(m'aa)/,,,,,,,,,,,,,,,1,,,,,,
Transition,|kasitomaa|,(2)/kasitO(m'a)/,,,,,,,,,,1,,,1,,,1,,1,,,
Transition,|kasitomaa|,(2)/kasitO(m'aa)/,,,,,,,,,,1,,,,,,1,,,,,
Transition,|kasitomaa|,(2)/kasi(t'Oma)/,,,,,,,,,,1,,,1,,1,1,1,,,,
Transition,|kasitOmaa|,(2)/kasi(t'oma)/,,,,,,,,,,,1,,1,,1,,,,,,
Transition,|kasitOmaa|,(2)/kasito(m'a)/,,,,,,,,,,,1,,1,,1,,,1,,,
Transition,|kasitOmaa|,(2)/kasito(m'aa)/,,,,,,,,,,,1,,,,1,,,,,,
Transition,|kasitOmaa|,(2)/kasitO(m'a)/,,,,,,,,,,,,,1,,,1,,1,,,
Transition,|kasitOmaa|,(2)/kasitO(m'aa)/,,,,,,,,,,,,,,,,1,,,,,
Transition,|kasitOmaa|,(2)/kasi(t'Oma)/,,,,,,,,,,,,,1,,1,1,1,,,,
*Transition,[sEpt'Emb3] (ignoring first foot),/sepi(t'ema)/,,,,,,,,,,,,,,,1,,,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepite(m'a)/,1,,,,,,,,,,,,,,1,,,1,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepite(m'aa)/,1,1,,,,,,,,,,,,,1,,,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepi(t'Ema)/,,,,,1,,,,,,,,,,1,1,1,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepitE(m'a)/,1,,,,1,,,,,,,,,,,1,,1,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepitE(m'aa)/,1,1,,,1,,,,,,,,,,,1,,,,,
Transition,/sepi(t'ema)/,|sepitema|,,,,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitEma|,,,,,,,,1,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitemaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitEmaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitema|,,,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitEma|,,,,,,,,1,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitemaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitEmaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitema|,,,,,,1,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitEma|,,,,,,1,,1,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitemaa|,,,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitEmaa|,,,,,,,,1,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitema|,,,,,,,,,1,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitEma|,,,,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitemaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitEmaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitema|,,,,,,,,,1,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitEma|,,,,,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitemaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitEmaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitema|,,,,,,1,,,1,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitEma|,,,,,,1,,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitemaa|,,,,,,,,,1,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitEmaa|,,,,,,,,,,,,,,,,,,,,,
Transition,|sepitema|,(2)/sepi(t'ema)/,,,,,,,,,,,,,,,1,,,,,,
Transition,|sepitema|,(2)/sepite(m'a)/,,,,,,,,,,,,,,,1,,,1,,,
Transition,|sepitema|,(2)/sepite(m'aa)/,,,,,,,,,,,,1,,,1,,,,,,
Transition,|sepitema|,(2)/sepi(t'Ema)/,,,,,,,,,,1,,,,,1,1,1,,,,
Transition,|sepitema|,(2)/sepitE(m'a)/,,,,,,,,,,1,,,,,,1,,1,,,
Transition,|sepitema|,(2)/sepitE(m'aa)/,,,,,,,,,,1,,1,,,,1,,,,,
Transition,|sepitEma|,(2)/sepi(t'ema)/,,,,,,,,,,,1,,,,1,,,,,,
Transition,|sepitEma|,(2)/sepite(m'a)/,,,,,,,,,,,1,,,,1,,,1,,,
Transition,|sepitEma|,(2)/sepite(m'aa)/,,,,,,,,,,,1,1,,,1,,,,,,
Transition,|sepitEma|,(2)/sepi(t'Ema)/,,,,,,,,,,,,,,,1,1,1,,,,
Transition,|sepitEma|,(2)/sepitE(m'a)/,,,,,,,,,,,,,,,,1,,1,,,
Transition,|sepitEma|,(2)/sepitE(m'aa)/,,,,,,,,,,,,1,,,,1,,,,,
Transition,|sepitemaa|,(2)/sepi(t'ema)/,,,,,,,,,,,,,1,,1,,,,,,
Transition,|sepitemaa|,(2)/sepite(m'a)/,,,,,,,,,,,,,1,,1,,,1,,,
Transition,|sepitemaa|,(2)/sepite(m'aa)/,,,,,,,,,,,,,,,1,,,,,,
Transition,|sepitemaa|,(2)/sepi(t'Ema)/,,,,,,,,,,1,,,1,,1,1,1,,,,
Transition,|sepitemaa|,(2)/sepitE(m'a)/,,,,,,,,,,1,,,1,,,1,,1,,,
Transition,|sepitemaa|,(2)/sepitE(m'aa)/,,,,,,,,,,1,,,,,,1,,,,,
Transition,|sepitEmaa|,(2)/sepi(t'ema)/,,,,,,,,,,,1,,1,,1,,,,,,
Transition,|sepitEmaa|,(2)/sepite(m'a)/,,,,,,,,,,,1,,1,,1,,,1,,,
Transition,|sepitEmaa|,(2)/sepite(m'aa)/,,,,,,,,,,,1,,,,1,,,,,,
Transition,|sepitEmaa|,(2)/sepi(t'Ema)/,,,,,,,,,,,,,1,,1,1,1,,,,
Transition,|sepitEmaa|,(2)/sepitE(m'a)/,,,,,,,,,,,,,1,,,1,,1,,,
Transition,|sepitEmaa|,(2)/sepitE(m'aa)/,,,,,,,,,,,,,,,,1,,,,,
*Transition,[mer'Idi3n] (ignoring footing. e insertion),/(m`eli)ti('ane)/,1,,,,,,,,,,,,,1,1,,,,,,
Transition,[mer'Idi3n] (ignoring footing. e insertion),/(m`elI)ti('ane)/,1,,,,1,,,,,,,,,,0,1,,,,,
Transition,/(m`eli)ti('ane)/,|melitiane|,,,,,,,,,,,,,,,,,,,,,
Transition,/(m`eli)ti('ane)/,|melItiane|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(m`elI)ti('ane)/,|melitiane|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(m`elI)ti('ane)/,|melItiane|,,,,,,,,,,,,,,,,,,,,,
Transition,|melitiane|,(2)/(m`eli)ti('ane)/,,,,,,,,,,,,,,1,1,,,,,,
Transition,|melitiane|,(2)/(m`elI)ti('ane)/,,,,,,,,,,1,,,,,0,1,,,,,
Transition,|melItiane|,(2)/(m`eli)ti('ane)/,,,,,,,,,,,1,,,1,1,,,,,,
Transition,|melItiane|,(2)/(m`elI)ti('ane)/,,,,,,,,,,,,,,,0,1,,,,,
*Transition,[pr'Ez3d`Ent] (ignoring footing. e and final i insertion),/pe(l`esi)(t'eni)/,,,,,,,,,,,,,,1,1,,,,,,
Transition,[pr'Ez3d`Ent] (ignoring footing. e and final i insertion),/pe(l`esI)(t'eni)/,,,,,1,,,,,,,,,,0,1,,,,,
Transition,/pe(l`esi)(t'eni)/,|pelesiteni|,,,,,,,,,,,,,,,,,,,,,
Transition,/pe(l`esi)(t'eni)/,|pelesIteni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/pe(l`esI)(t'eni)/,|pelesiteni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/pe(l`esI)(t'eni)/,|pelesIteni|,,,,,,,,,,,,,,,,,,,,,
Transition,|pelesiteni|,(2)/pe(l`esi)(t'eni)/,,,,,,,,,,,,,,1,1,,,,,,
Transition,|pelesiteni|,(2)/pe(l`esI)(t'eni)/,,,,,,,,,,1,,,,,0,1,,,,,
Transition,|pelesIteni|,(2)/pe(l`esi)(t'eni)/,,,,,,,,,,,1,,,1,1,,,,,,
Transition,|pelesIteni|,(2)/pe(l`esI)(t'eni)/,,,,,,,,,,,,,,,0,1,,,,,
*Transition,[kr'Ist3l] (ignoring a insertions),/ka(l`isi)(t'ala)/,,,1,,,,,,,,,,,1,1,,,,,,
Transition,[kr'Ist3l] (ignoring a insertions),/ka(l`isI)(t'ala)/,,,,1,,,,,,,,,,,,1,,,,,
Transition,/ka(l`isi)(t'ala)/,|kalisitala|,,,,,,,,,,,,,,,,,,,,,
Transition,/ka(l`isi)(t'ala)/,|kalisItala|,,,,,,,,1,,,,,,,,,,,,,
Transition,/ka(l`isI)(t'ala)/,|kalisitala|,,,,,,,,,1,,,,,,,,,,,,
Transition,/ka(l`isI)(t'ala)/,|kalisItala|,,,,,,,,,,,,,,,,,,,,,
Transition,|kalisitala|,(2)/ka(l`isi)(t'ala)/,,,,,,,,,,,,,,1,1,,,,,,
Transition,|kalisitala|,(2)/ka(l`isI)(t'ala)/,,,,,,,,,,1,,,,,,1,,,,,
Transition,|kalisItala|,(2)/ka(l`isi)(t'ala)/,,,,,,,,,,,1,,,1,1,,,,,,
Transition,|kalisItala|,(2)/ka(l`isI)(t'ala)/,,,,,,,,,,,,,,,,1,,,,,
*Transition,[fr'AkS3n] (ignoring i insertions),/(f`ala)ki(s'eni)/,1,,1,,,,,,,,,,,,1,,,,,,3
Transition,[fr'AkS3n] (ignoring i insertions),/fa(l`aki)(s'eni)/,,,1,,,,,,,,,,,,1,,,,,1,2
Transition,[fr'AkS3n] (ignoring i insertions),/(f`Ala)ki(s'eni)/,1,,,1,,,,,,,,,,,1,1,1,,,,3
Transition,[fr'AkS3n] (ignoring i insertions),/fA(l`aki)(s'eni)/,,,,1,,,,,,,,,,,,1,,,,1,2
Transition,[fr'AkS3n] (ignoring i insertions),/(f`alA)ki(s'eni)/,1,,1,,1,,,,,,,,,,,1,,,,,3
Transition,[fr'AkS3n] (ignoring i insertions),/fa(l`Aki)(s'eni)/,,,1,,1,,,,,,,,,,1,1,1,,,1,2
Transition,[fr'AkS3n] (ignoring i insertions),/(f`AlA)ki(s'eni)/,1,,,1,1,,,,,,,,,,,2,1,,,,3
Transition,[fr'AkS3n] (ignoring i insertions),/fA(l`Aki)(s'eni)/,,,,1,1,,,,,,,,,,,2,1,,,1,2
Transition,/(f`ala)ki(s'eni)/,|falakiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/(f`ala)ki(s'eni)/,|fAlakiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(f`ala)ki(s'eni)/,|falAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(f`ala)ki(s'eni)/,|fAlAkiseni|,,,,,,,,2,,,,,,,,,,,,,
Transition,/fa(l`aki)(s'eni)/,|falakiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/fa(l`aki)(s'eni)/,|fAlakiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/fa(l`aki)(s'eni)/,|falAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/fa(l`aki)(s'eni)/,|fAlAkiseni|,,,,,,,,2,,,,,,,,,,,,,
Transition,/(f`Ala)ki(s'eni)/,|falakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(f`Ala)ki(s'eni)/,|fAlakiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/(f`Ala)ki(s'eni)/,|falAkiseni|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(f`Ala)ki(s'eni)/,|fAlAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/fA(l`aki)(s'eni)/,|falakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/fA(l`aki)(s'eni)/,|fAlakiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/fA(l`aki)(s'eni)/,|falAkiseni|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/fA(l`aki)(s'eni)/,|fAlAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(f`alA)ki(s'eni)/,|falakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(f`alA)ki(s'eni)/,|fAlakiseni|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(f`alA)ki(s'eni)/,|falAkiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/(f`alA)ki(s'eni)/,|fAlAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/fa(l`Aki)(s'eni)/,|falakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/fa(l`Aki)(s'eni)/,|fAlakiseni|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/fa(l`Aki)(s'eni)/,|falAkiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/fa(l`Aki)(s'eni)/,|fAlAkiseni|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(f`AlA)ki(s'eni)/,|falakiseni|,,,,,,,,,2,,,,,,,,,,,,
Transition,/(f`AlA)ki(s'eni)/,|fAlakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(f`AlA)ki(s'eni)/,|falAkiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(f`AlA)ki(s'eni)/,|fAlAkiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,/fA(l`Aki)(s'eni)/,|falakiseni|,,,,,,,,,2,,,,,,,,,,,,
Transition,/fA(l`Aki)(s'eni)/,|fAlakiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/fA(l`Aki)(s'eni)/,|falAkiseni|,,,,,,,,,1,,,,,,,,,,,,
Transition,/fA(l`Aki)(s'eni)/,|fAlAkiseni|,,,,,,,,,,,,,,,,,,,,,
Transition,|falakiseni|,(2)/(f`ala)ki(s'eni)/,,,,,,,,,,,,,,,1,,,,,,3
Transition,|falakiseni|,(2)/fa(l`aki)(s'eni)/,,,,,,,,,,,,,,,1,,,,,1,2
Transition,|falakiseni|,(2)/(f`Ala)ki(s'eni)/,,,,,,,,,,1,,,,,1,1,1,,,,3
Transition,|falakiseni|,(2)/fA(l`aki)(s'eni)/,,,,,,,,,,1,,,,,,1,,,,1,2
Transition,|falakiseni|,(2)/(f`alA)ki(s'eni)/,,,,,,,,,,1,,,,,,1,,,,,3
Transition,|falakiseni|,(2)/fa(l`Aki)(s'eni)/,,,,,,,,,,1,,,,,1,1,1,,,1,2
Transition,|falakiseni|,(2)/(f`AlA)ki(s'eni)/,,,,,,,,,,2,,,,,,2,1,,,,3
Transition,|falakiseni|,(2)/fA(l`Aki)(s'eni)/,,,,,,,,,,2,,,,,,2,1,,,1,2
Transition,|fAlakiseni|,(2)/(f`ala)ki(s'eni)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|fAlakiseni|,(2)/fa(l`aki)(s'eni)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|fAlakiseni|,(2)/(f`Ala)ki(s'eni)/,,,,,,,,,,,,,,,1,1,1,,,,3
Transition,|fAlakiseni|,(2)/fA(l`aki)(s'eni)/,,,,,,,,,,,,,,,,1,,,,1,2
Transition,|fAlakiseni|,(2)/(f`alA)ki(s'eni)/,,,,,,,,,,1,1,,,,,1,,,,,3
Transition,|fAlakiseni|,(2)/fa(l`Aki)(s'eni)/,,,,,,,,,,1,1,,,,1,1,1,,,1,2
Transition,|fAlakiseni|,(2)/(f`AlA)ki(s'eni)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|fAlakiseni|,(2)/fA(l`Aki)(s'eni)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|falAkiseni|,(2)/(f`ala)ki(s'eni)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|falAkiseni|,(2)/fa(l`aki)(s'eni)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|falAkiseni|,(2)/(f`Ala)ki(s'eni)/,,,,,,,,,,1,1,,,,1,1,1,,,,3
Transition,|falAkiseni|,(2)/fA(l`aki)(s'eni)/,,,,,,,,,,1,1,,,,,1,,,,1,2
Transition,|falAkiseni|,(2)/(f`alA)ki(s'eni)/,,,,,,,,,,,,,,,,1,,,,,3
Transition,|falAkiseni|,(2)/fa(l`Aki)(s'eni)/,,,,,,,,,,,,,,,1,1,1,,,1,2
Transition,|falAkiseni|,(2)/(f`AlA)ki(s'eni)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|falAkiseni|,(2)/fA(l`Aki)(s'eni)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|fAlAkiseni|,(2)/(f`ala)ki(s'eni)/,,,,,,,,,,,2,,,,1,,,,,,3
